assignee_organization,assignee_lastknown_state,assignee_lastknown_latitude,assignee_lastknown_longitude,assignee_total_num_patents,assignee_lastknown_city,count
"Field Controls, LLC",NC,35.2625,-77.5819,27,Kinston,
"PAVESTONE, LLC",GA,33.7489,-84.3881,27,Atlanta,
"Bilco Tools, Inc.",LA,29.5956,-90.7194,27,Houma,
Movius Interactive Corporation,GA,34.0289,-84.1986,27,Johns Creek,
"AcuFocus, Inc.",CA,33.6694,-117.822,27,Irvine,
"GridPoint, Inc.",VA,38.9686,-77.3414,27,Reston,
"Travis Industries, Inc.",WA,47.9447,-122.303,27,Mukilteo,
Luminator Holding LP,TX,33.0197,-96.6986,27,Plano,
Metal Fabricating Corporation,OH,41.4994,-81.6956,27,Cleveland,
"Tria Beauty, Inc.",CA,37.7022,-121.935,27,Dublin,
Sony Music Entertainment Inc.,NY,40.7142,-74.0064,27,New York,
TEALIUM INC.,CA,32.7153,-117.156,27,San Diego,
Medibotics LLC,MN,44.9537,-93.09,27,St. Paul,
"Firetide, Inc.",CA,37.2872,-121.949,27,Campbell,
Griswold Controls,CA,33.6694,-117.822,27,Irvine,
"Holly Hunt Enterprises, Inc.",IL,41.85,-87.65,27,Chicago,
"Aris Horticulture, Inc.",OH,41.0128,-81.6053,27,Barberton,
Safe Rack LLC,SC,33.4511,-79.5611,27,Andrews,
"Senseware, Inc.",VA,38.9011,-77.2656,27,Vienna,
Gyrfalcon Technology Inc.,CA,37.4283,-121.906,27,Milpitas,
"Sheltered Wings, Inc.",WI,43.0156,-89.8953,27,Barneveld,
Mitsubishi Kagaku Imaging Corporation,CA,34.1425,-118.254,27,Glendale,
U.S. Department of Veterans Affairs,DC,38.895,-77.0367,27,Washington,
"Uhnder, Inc.",TX,30.2669,-97.7428,27,Austin,
"Inter-Med, Inc.",WI,42.7261,-87.7828,27,Racine,
"GRANDIOS TECHNOLOGIES, LLC",SC,32.7764,-79.9311,27,Charleston,
Credibility Corp.,CA,34.005,-118.809,27,Malibu,
Verizon Telematics Inc.,GA,33.7489,-84.3881,27,Atlanta,
Carpenter Co.,VA,37.5536,-77.4606,27,Richmond,
"Vencore Labs, Inc.",NJ,40.7061,-74.5497,27,Basking Ridge,
"HSNi, LLC",FL,41.9011,-83.715,27,St. Petersburg,
"Valor Communication, Inc.",CA,40.6444,-80.4164,27,City of Industry,
Tata Communications (America) Inc.,VA,38.9694,-77.3864,27,Herndon,
"iCAD, Inc.",NH,42.7653,-71.4681,27,Nashua,
ANTELOPE OIL TOOL & MFG. CO.,TX,29.7631,-95.3631,27,Houston,
"Liquid Light, Inc.",NJ,40.3789,-74.5469,27,Monmouth Junction,
"ILC Dover, Inc.",DE,39.0089,-75.4661,27,Frederica,
"Liveleaf, Inc.",CA,37.5072,-122.259,27,San Carlos,
"InjectiMed, Inc.",NV,38.9542,-119.765,27,Minden,
"Citicorp Credit Services, Inc. (USA)",NY,40.7447,-73.9492,27,Long Island City,
Oracle OTC Subsidiary LLC,CA,37.5319,-122.247,27,Redwood Shores,
ICAP Services North America LLC,NJ,40.7281,-74.0781,27,Jersey City,
"Reynolds Systems, Inc.",CA,38.7525,-122.614,27,Middletown,
JOYSON SAFETY SYSTEMS ACQUISITION LLC,MI,42.6875,-83.2342,27,Auburn Hills,
Huami Inc.,CA,37.3861,-122.083,27,Mountain View,
"Cohesity, Inc.",CA,37.3394,-121.894,27,San Jose,
"Arryx, Inc.",IL,41.85,-87.65,27,Chicago,
Advanced Bionutrition Corporation,MD,39.2403,-76.8397,27,Columbia,
Georgia-Pacific Corrugated LLC,GA,33.7489,-84.3881,27,Atlanta,
"Lentrade, Inc.",TX,29.7631,-95.3631,27,Houston,
JWin Electronics Corp.,NY,40.8256,-73.6986,27,Port Washington,
,FL,26.3583,-80.0833,27,Boca Raton,
"Spinal USA, Inc.",NJ,40.8578,-74.4264,26,Parsippany,
"Strix Systems, Inc.",CA,34.1578,-118.637,26,Calabasas,
"AxleTech International IP Holdings, LLC",MI,42.6056,-83.15,26,Troy,
"Golight, Inc.",NE,40.2297,-100.838,26,Culbertson,
"Peach State Labs, Inc.",GA,34.2569,-85.1647,26,Rome,
Sicor Inc.,CA,33.6694,-117.822,26,Irvine,
IQ-Analog Corporation,CA,32.7153,-117.156,26,San Diego,
"Advanced Architectural Products, LLC",MI,42.5292,-85.8553,26,Allegan,
"Biosearch Technologies, Inc.",CA,38.2325,-122.636,26,Petaluma,
"Aristocrat Technologies, Inc.",NV,36.175,-115.136,26,Las Vegas,
Automated Assembly Corporation,MN,44.6497,-93.2425,26,Lakeville,
"Henry Company, LLC",CA,33.9192,-118.416,26,El Segundo,
Promptu Systems Corporation,CA,37.4539,-122.181,26,Menlo Park,
"HINKLEY LIGHTING, INC.",OH,41.5053,-82.0283,26,Avon Lake,
"National Products, Inc.",WA,47.6064,-122.331,26,Seattle,
"Cinsay, Inc.",TX,32.7833,-96.8,26,Dallas,
"Appareo Systems, LLC",ND,46.8772,-96.7894,26,Fargo,
R. W. Beckett Corporation,OH,41.3894,-82.0192,26,North Ridgeville,
Thermo Fisher Scientific (Asheville) LLC,NC,35.6008,-82.5542,26,Asheville,
"Fluid Components, Inc.",CA,33.1433,-117.165,26,San Marcos,
"Ceterix Orthopaedics, Inc.",CA,37.5483,-121.988,26,Fremont,
"Avinger, Inc.",CA,37.4853,-122.235,26,Redwood City,
"HJ Laboratories, LLC",PA,40.0197,-75.305,26,Bryn Mawr,
"NexMed Holdings, Inc.",CA,32.7153,-117.156,26,San Diego,
"3SAE Technologies, Inc.",TN,35.925,-86.8689,26,Franklin,
"Noregin Assets N.V., L.L.C.",DE,39.1581,-75.5247,26,Dover,
"Komax Systems, Inc.",CA,33.6603,-117.998,26,Huntington Beach,
Engineered Arresting Systems Corporation,PA,39.8648,-75.4257,26,Aston,
"Nexen Group, Inc.",MN,45.0575,-93.0736,26,Vadnais Heights,
"Airware, Inc.",CA,34.4358,-119.827,26,Goleta,
"Huntair, Inc.",OR,45.3842,-122.763,26,Tualatin,
"The Kong Company, LLC",CO,39.7556,-105.221,26,Golden,
"Plastek Industries, Inc.",PA,42.1292,-80.0853,26,Erie,
American Saw & Mfg. Company,MA,42.0644,-72.5131,26,East Longmeadow,
"OXiGENE, Inc.",CA,37.6547,-122.407,26,South San Francisco,
"ASFORA IP, LLC",SD,43.55,-96.7,26,Sioux Falls,
"Tipping Point Group, LLC",FL,27.9092,-82.7875,26,Largo,
"Hydromer, Inc.",NJ,40.5083,-74.7297,26,Branchburg,
"Decra Stone, Inc.",MN,44.7133,-93.4225,26,Prior Lake,
OCZ Storage Solutions Inc.,CA,37.3394,-121.894,26,San Jose,
"Ness Inventions, Inc.",MN,44.9537,-93.09,26,St. Paul,
"Rohinni, LLC",ID,47.6778,-116.779,26,Coeur d'Alene,
Stowers Institute for Medical Research,MO,39.0997,-94.5783,26,Kansas City,
"Donghia, Inc.",CT,41.2222,-73.0569,26,Milford,
"Western Forms, Inc.",MO,39.0997,-94.5783,26,Kansas City,
"Daws Manufacturing Co., Inc.",FL,30.4211,-87.2169,26,Pensacola,
"Control Concepts, Inc.",CT,41.915,-71.9094,26,Putnam,
"Pandora Media, Inc.",CA,37.8044,-122.27,26,Oakland,
"New Health Sciences, Inc.",MA,42.4472,-71.225,26,Lexington,
Therma-Tru Corp.,OH,41.5628,-83.6539,26,Maumee,
Inner-Tite Corp.,MA,42.3517,-71.8639,26,Holden,
"Cold Jet, Inc.",OH,39.2689,-84.2639,26,Loveland,
"Malco Products, Inc.",MN,45.2628,-94.1242,26,Annandale,
"PBI Performance Products, Inc.",NC,35.2269,-80.8433,26,Charlotte,
"Casella Waste Systems, Inc.",VT,43.6106,-72.9731,26,Rutland,
UNL Holdings LLC,NY,40.7142,-74.0064,26,New York,
"Clean Energy Systems, Inc.",CA,38.5892,-121.302,26,Rancho Cordova,
"Joyal Products, Inc.",NJ,40.6408,-74.3111,26,Clark,
"Adlens Beacon, Inc.",FL,25.9875,-80.175,26,Pembroke Park,
"H & S Manufacturing Co., Inc.",WI,44.6689,-90.1717,26,Marshfield,
"Beckett Gas, Inc.",OH,41.3894,-82.0192,26,North Ridgeville,
"Ampio Pharmaceuticals, Inc.",CO,39.6478,-104.987,26,Englewood,
Medtronic CoreValve LLC,MN,44.98,-93.2636,26,Minneapolis,
"TRC Recreation, LP",TX,33.9136,-98.4931,26,Wichita Falls,
Texas Heart Institute,TX,29.7631,-95.3631,26,Houston,
"Composite Technology Development, Inc.",CO,39.9936,-105.089,26,Lafayette,
"VDF Futureceuticals, Inc.",IL,41.1667,-87.6628,26,Momence,
"Chromatic Technologies, Inc.",CO,38.8339,-104.821,26,Colorado Springs,
"Semprius, Inc.",NC,35.9939,-78.8989,26,Durham,
"Ausco Products, Inc.",MI,42.1167,-86.4542,26,Benton Harbor,
"AtheroMed, Inc.",CA,37.4539,-122.181,26,Menlo Park,
"ISM Saddles, LLC",FL,28.1508,-82.4617,26,Lutz,
Lucasey Manufacturing Company,CA,37.8044,-122.27,26,Oakland,
"Vanguard Identification Systems, Inc.",PA,39.9606,-75.6058,26,West Chester,
KFC Corporation,KY,38.2542,-85.7594,26,Louisville,
Spears Manufacturing Co.,CA,34.3078,-118.448,26,Sylmar,
"Driscoll's, Inc.",CA,36.9103,-121.756,26,Watsonville,
"Canon Information and Imaging Solutions, Inc.",NY,40.7933,-73.4156,26,Melville,
"Cree LED Lighting Solutions, Inc.",NC,35.9939,-78.8989,26,Durham,
Institute for Cancer Research,PA,39.9522,-75.1642,26,Philadelphia,
"Dentek Oral Care, Inc.",TN,35.7564,-83.9706,26,Maryville,
"Malibu Boats, LLC",TN,35.7328,-84.3339,26,Loudon,
"Lockheed Martin Coherent Technologies, Inc.",CO,39.9778,-105.131,26,Louisville,
TrackThings LLC,NJ,40.6953,-74.4014,26,Murray Hill,
"TherapeuticsMD, Inc.",FL,26.3583,-80.0833,26,Boca Raton,
The Bilco Company,CT,41.3081,-72.9286,26,New Haven,
"RTIC IP, LLC",TX,29.7631,-95.3631,26,Houston,
Cytonix Corporation,MD,39.0347,-76.9078,26,Beltsville,
Florida Institute of Technology,FL,28.0833,-80.6083,26,Melbourne,
"SIO2 MEDICAL PRODUCTS, INC.",AL,32.6097,-85.4808,26,Auburn,
"Amlogic Co., Ltd.",CA,37.3542,-121.954,26,Santa Clara,
TA INSTRUMENTS-WATERS L.L.C.,MA,42.1397,-71.5167,26,Milford,
Hyper Pet LLC,KS,37.6922,-97.3372,26,Wichita,
"Hammonds Technical Services, Inc.",TX,29.7631,-95.3631,26,Houston,
"Underground Devices, Inc.",IL,42.1275,-87.8289,26,Northbrook,
FUJIFILM North America Corporation,NY,41.0747,-73.7756,26,Valhalla,
"Climax Engineered Materials, LLC",AZ,33.4483,-112.073,26,Phoenix,
"BEI Sensors & Systems Company, Inc.",CA,34.2856,-118.881,26,Moorpark,
"LSIL & CO., INC.",NY,41.0339,-73.7633,26,White Plains,
Spectrum Dynamics LLC,NY,41.0464,-73.95,26,Orangeburg,
"Twelve, Inc.",CA,37.4539,-122.181,26,Menlo Park,
"AMI Entertainment Network, Inc.",PA,40.1392,-74.9814,26,Trevose,
Envirotest Systems Holdings Corp.,CT,41.9411,-72.7278,26,East Granby,
"Optech Ventures, LLC",CA,33.8358,-118.34,26,Torrance,
WORLD RICHMAN MANUFACTURING CORPORATION,IL,42.0372,-88.2811,26,Elgin,
"iHear Medical, Inc.",CA,37.725,-122.155,26,San Leandro,
"Clean Power Research, L.L.C.",CA,38.2972,-122.284,26,Napa,
"Calcimedica, Inc.",CA,32.8472,-117.273,26,La Jolla,
"Griffith Laboratories U.S.A., Inc.",IL,41.6689,-87.7386,26,Alsip,
Cleaveland/Price Inc.,PA,40.3856,-79.7592,26,Trafford,
New Mexico Tech Research Foundation,NM,34.0583,-106.891,26,Socorro,
"Qualitau, Inc.",CA,37.3861,-122.083,26,Mountain View,
"Industrial Origami, Inc.",OH,41.3614,-81.8131,26,Middleburg Heights,
"Senninger Irrigation, Inc.",CA,33.1433,-117.165,26,San Marcos,
Buck Institute for Research on Aging,CA,38.1075,-122.569,26,Novato,
"Warren Rupp, Inc.",OH,40.7583,-82.5156,26,Mansfield,
The Marley-Wylain Company,IN,41.7075,-86.895,26,Michigan City,
Spacelabs Healthcare LLC,WA,47.5289,-121.824,26,Snoqualmie,
"Lincoln Brass Works, Inc.",TN,35.3194,-87.7622,26,Waynesboro,
"Keen, Inc.",OR,45.5236,-122.675,26,Portland,
Echo Incorporated,IL,42.1969,-88.0933,26,Lake Zurich,
"Front Edge Technology, Inc.",CA,34.0853,-117.96,26,Baldwin Park,
Ingersoll Cutting Tool Company,IL,42.2711,-89.0939,26,Rockford,
"Blue Spike, Inc.",FL,25.9429,-80.1234,26,Sunny Isles Beach,
Grifols Therapeutics Inc.,NC,35.9939,-78.8989,26,Durham,
"Tenn-Tex Plastics, Inc.",NC,36.1125,-80.0147,26,Colfax,
"Bulk Chemicals, Inc.",PA,40.3356,-75.9272,26,Reading,
SUNCOKE TECHNOLOGY AND DEVELOPMENT LLC,IL,41.8011,-88.0747,26,Lisle,
Uponor N.V.,MN,44.7319,-93.2177,26,Apply Valley,
Homerun Holdings Corporation,FL,30.4211,-87.2169,26,Pensacola,
"SIGNA CHEMISTRY, INC.",NY,40.7142,-74.0064,26,New York,
"RF Code, Inc.",TX,30.2669,-97.7428,26,Austin,
Spinefrontier Inc,MA,42.425,-71.0667,26,Malden,
Reell Precision Manufacturing Corporation,MN,44.9537,-93.09,26,St. Paul,
"EndoStim, Inc.",TX,32.7833,-96.8,26,Dallas,
"Zenithen USA, LLC",CA,34.0975,-117.647,26,Upland,
"Vermillion, Inc.",TX,30.2669,-97.7428,26,Austin,
"Hurco Companies, Inc.",IN,39.7683,-86.1581,26,Indianapolis,
"Alberee Products, Inc.",MD,39.2397,-76.6806,26,Halethorpe,
"Cardio Flow, Inc.",MN,44.9537,-93.09,26,St. Paul,
"Eagle Technology, LLC",FL,28.0833,-80.6083,26,Melbourne,
Schawbel Technologies LLC,MA,42.5047,-71.1961,26,Burlington,
HARSCO TECHNOLOGIES LLC,MN,43.6522,-94.4608,26,Fairmont,
"CaptionCall, LLC",UT,40.7608,-111.89,26,Salt Lake City,
Crystal Group Inc.,IA,42.0358,-91.6819,26,Hiawatha,
Facet Technology Corp.,MN,44.9033,-93.5661,26,Excelsior,
"Ameritherm, Inc.",NY,43.0258,-77.7456,26,Scottsville,
"WaveTec Vision Systems, Inc.",CA,33.6083,-117.744,26,Aliso Viejo,
"Dowco, Inc.",WI,44.0886,-87.6575,26,Manitowoc,
"Melaleuca, Inc.",ID,43.4667,-112.033,26,Idaho Falls,
Porex Corporation,GA,33.5669,-84.5811,26,Fairburn,
VNS Portfolio LLC,CA,34.1578,-118.637,26,Calabasas,
Hydranautics,CA,33.1958,-117.379,26,Oceanside,
"Dynalloy, Inc.",CA,33.6411,-117.918,26,Costa Mesa,
Nortek Security & Control LLC,CA,33.1581,-117.35,26,Carlsbad,
"The 41st Parameter, Inc.",AZ,33.5092,-111.898,26,Scottsdale,
"Bergstrom, Inc.",IL,42.2711,-89.0939,26,Rockford,
Mellanox Technologies Silicon Photonics Inc.,CA,34.0625,-118.122,26,Monterey Park,
"Kaz USA, Inc.",MA,42.3056,-71.525,26,Southborough,
LOUD Technologies Inc.,WA,47.7544,-122.162,26,Woodinville,
The Medicines Company,NJ,40.8578,-74.4264,26,Parsippany,
URBAN TREND LLC,CA,33.6189,-117.928,26,Newport Beach,
"Satellite Industries, Inc.",MN,44.98,-93.2636,26,Minneapolis,
"Applied Molecular Evolution, Inc.",CA,32.7153,-117.156,26,San Diego,
"THL Holding Company, LLC",TX,30.2669,-97.7428,26,Austin,
"7AC Technologies, Inc.",MA,42.5583,-70.8806,26,Beverly,
Marshall Excelsior Company,MI,42.2722,-84.9633,26,Marshall,
"RANDL Industries, Inc.",WA,47.6733,-117.238,26,Spokane Valley,
FINELITE INC.,CA,37.5958,-122.018,26,Union City,
"Raritan Americas, Inc.",NJ,40.5292,-74.64,26,Somerset County,
Clayton Corporation,MO,38.5131,-90.4358,26,Fenton,
"Cara Therapeutics, Inc.",CT,41.0533,-73.5392,26,Stamford,
"Demand Media, Inc.",CA,34.0194,-118.49,26,Santa Monica,
Vivante Corporation,CA,37.3394,-121.894,26,San Jose,
K-Swiss Inc.,CA,34.0522,-118.243,26,Los Angeles,
"Garrett Electronics, Inc.",TX,32.9125,-96.6386,26,Garland,
AMTROL Licensing Inc.,RI,41.7061,-71.5236,26,West Warwick,
"The United States of America, as represented by the Secretary of Homeland Security",DC,38.895,-77.0367,26,Washington,
"Hudson Technologies, Inc.",NY,41.0589,-74.0222,26,Pearl River,
"Allure Energy, Inc.",TX,30.2669,-97.7428,26,Austin,
Great Dane Limited Partnership,IL,41.85,-87.65,26,Chicago,
MOTIONPOINT CORPORATION,FL,26.2514,-80.1792,26,Coconut Creek,
"Structural Graphics, LLC",CT,41.3533,-72.3911,26,Essex,
"Cranial Technologies, Inc.",AZ,33.4147,-111.909,26,Tempe,
Drive Medical Design & Manufacturing,NY,40.8256,-73.6986,26,Port Washington,
Oldenburg Group Incorporated,WI,43.0389,-87.9064,26,Milwaukee,
"Alliance Fiber Optics Products, Inc.",CA,37.3689,-122.035,26,Sunnyvale,
"Century, LLC",OK,35.4675,-97.5161,26,Oklahoma City,
"Energy Focus, Inc.",OH,41.3897,-81.4414,26,Solon,
"DRS RSTA, Inc.",TX,32.7833,-96.8,26,Dallas,
"The United States of America as represented by the Department of Health and Human Services, Centers for Disease Control and Prevention",DC,38.895,-77.0367,26,Washington,
"Dental Equipment, LLC",NC,35.2269,-80.8433,26,Charlotte,
"Somero Enterprises, Inc.",FL,26.6403,-81.8725,26,Fort Myers,
"Nuventix, Inc.",TX,30.2669,-97.7428,26,Austin,
"Minerva Surgical, Inc.",CA,37.4853,-122.235,26,Redwood City,
"Epitomics, Inc.",CA,37.5842,-122.365,26,Burlingame,
"Zeltiq Aesthetics, Inc.",CA,37.6625,-121.874,26,Pleasanton,
"CooperSurgical, Inc.",CT,41.2428,-73.2011,26,Trumbull,
"THE BOARD OF REGENTS OF THE NEVADA SYSTEM OF HIGHER EDUCATION ON BEHALF OF THE UNIVERSITY OF NEVADA, LAS VEGAS",NV,36.175,-115.136,26,Las Vegas,
"Brooks Instrument, LLC",PA,40.2797,-75.2997,26,Hatfield,
"Akonni Biosystems, Inc.",MD,39.4142,-77.4108,26,Frederick,
"Tim Simon, Inc.",CA,37.775,-122.418,26,San Francisco,
Intelligent Intellectual Property Holdings 2 LLC,DE,39.7458,-75.5469,26,Wilmington,
"Cradlepoint, Inc.",ID,43.6136,-116.202,26,Boise,
"Suncore Photovoltaics, Inc.",CA,34.1069,-117.934,26,Irwindale,
The Folger Coffee Company,OH,40.8436,-81.7642,26,Orrville,
Arkion Life Sciences LLC,DE,39.6619,-75.5667,26,New Castle,
"Genesis Systems Group, Ltd.",AZ,32.4367,-111.225,26,Marana,
"Princeton Tectonics, Inc.",NJ,40.1461,-74.7122,26,Bordentown,
"Skyhigh Networks, Inc.",CA,37.2872,-121.949,26,Campbell,
"Aerotech, Inc.",PA,40.4406,-79.9961,26,Pittsburgh,
"FRX Polymers, Inc.",MA,42.5997,-71.3678,26,Chelmsford,
"Communications Systems, Inc.",MN,44.9133,-93.5031,26,Minnetonka,
Benjamin Obdyke Incorporated,PA,40.1783,-75.1289,26,Horsham,
Merge Healthcare Incorporated,IL,41.85,-87.65,26,Chicago,
"TruTag Technologies, Inc.",HI,21.3354,-158.057,26,Kapolei,
"Artemis Medical, Inc.",CA,37.6689,-122.08,26,Hayward,
NextVR Inc.,CA,33.6189,-117.928,26,Newport Beach,
"Kona Medical, Inc.",WA,47.6106,-122.199,26,Bellevue,
"Daniel Defense, Inc.",GA,32.1654,-81.4865,26,Black Creek,
"A.M. SURGICAL, INC.",NY,40.8558,-73.2011,26,Smithtown,
"Homeland Housewares, LLC",CA,34.0522,-118.243,26,Los Angeles,
"Pipe Restoration Technologies, LLC",NV,36.175,-115.136,26,Las Vegas,
Sierra Nevada Corporation,NV,39.535,-119.752,26,Sparks,
Republic Tobacco L.P.,IL,42.0697,-87.7878,26,Glenview,
Mide Technology Corporation,MA,42.4183,-71.1067,26,Medford,
"Net Power and Light, Inc.",CA,37.775,-122.418,26,San Francisco,
"Aero Transportation Products, Inc.",MO,39.0911,-94.4153,26,Independence,
,OH,41.5222,-81.3381,26,Chesterland,
Cumberland Pharmaceuticals Inc.,TN,36.1658,-86.7844,25,Nashville,
"NeuPharma, Inc.",CA,37.5586,-122.27,25,Foster City,
DR. PY INSTITUTE LLC,CT,41.5769,-73.4089,25,New Milford,
"Autonomic Technologies, Inc.",CA,37.4853,-122.235,25,Redwood City,
"SUNRISE MICRO DEVICES, INC.",FL,26.3181,-80.1,25,Deerfield Beach,
"L3 TECHNOLOGIES, INC.",NY,40.7142,-74.0064,25,New York,
"Creative Edge Design Group, Ltd.",OH,40.7989,-81.3786,25,Canton,
Fischer Imaging Corporation,GA,34.2072,-84.1403,25,Cumming,
"Medicomp, Inc.",FL,28.0833,-80.6083,25,Melbourne,
"VCE Company, LLC",TX,32.9481,-96.7294,25,Richardson,
"FTI Consulting, Inc.",MD,38.9783,-76.4925,25,Annapolis,
Rauland-Borg Corporation,IL,42.0664,-87.9372,25,Mount Prospect,
Social Communications Company,OR,44.0522,-123.086,25,Eugene,
"Nexenta Systems, Inc.",CA,37.3542,-121.954,25,Santa Clara,
"Whitmor, Inc.",MS,34.9889,-90.0125,25,Southaven,
"Zotos International, Inc.",CT,41.0786,-73.4697,25,Darien,
"Ulthera, Inc.",AZ,33.4222,-111.822,25,Mesa,
"Kegel, LLC",FL,27.9011,-81.5861,25,Lake Wales,
"Harmonic Design, Inc.",CA,32.9628,-117.035,25,Poway,
ABT Holding Company,OH,41.4994,-81.6956,25,Cleveland,
"SAES Pure Gas, Inc.",CA,35.2828,-120.659,25,San Luis Obispo,
"Neocera, Inc.",MD,39.0347,-76.9078,25,Beltsville,
Synageva BioPharma Corp.,MA,42.4472,-71.225,25,Lexington,
"Veoneer US, Inc.",MI,42.4733,-83.2219,25,Southfield,
"CENTRAK, INC.",PA,40.2292,-74.9372,25,Newtown,
"Cardia, Inc.",MN,44.8042,-93.1667,25,Eagan,
"Carlisle Interconnect Technologies, Inc.",FL,29.9012,-81.3124,25,St. Augustine,
InPro Corporation,WI,42.9058,-88.1389,25,Muskego,
Dell International L.L.C.,TX,30.5081,-97.6786,25,Round Rock,
"Redwood Systems, Inc.",CA,37.5483,-121.988,25,Fremont,
Sumitomo Electric Lightwave Corp.,NC,35.7719,-78.6389,25,Raleigh,
"Dynacraft BSC, Inc.",GA,32.0833,-81.1,25,Savannah,
"Marty Gilman, Inc.",CT,41.5769,-72.1997,25,Gilman,
Lucifer Lighting Company,TX,29.4239,-98.4933,25,San Antonio,
"Scientific Pharmaceuticals, Inc.",CA,34.0553,-117.751,25,Pomona,
Oberg Industries,PA,40.6739,-79.685,25,Freeport,
Infectious Disease Research Institute,WA,47.6064,-122.331,25,Seattle,
"Scanlan International, Inc.",MN,44.9537,-93.09,25,St. Paul,
"Flex Lighting II, LLC",IL,41.85,-87.65,25,Chicago,
"Revance Therapeutics, Inc.",CA,37.5297,-122.039,25,Newark,
Continental Disc Corporation,MO,39.2461,-94.4189,25,Liberty,
MTM Molded Products Company,OH,39.7589,-84.1917,25,Dayton,
"JBL INTERNATIONAL, INC",TX,29.7631,-95.3631,25,Houston,
"PIONEER SQUARE BRANDS, INC.",VA,38.9342,-77.1778,25,McLean,
"Neotech Products, Inc.",CA,34.4436,-118.609,25,Valencia,
"Buckhorn, Inc.",OH,39.1753,-84.2944,25,Milford,
Catholic Healthcare West,CA,37.775,-122.418,25,San Francisco,
"Sturman Digital Systems, LLC",CO,38.9939,-105.056,25,Woodland Park,
University of Mississippi Medical Center,MS,32.2986,-90.1847,25,Jackson,
Alliance Laundry Systems LLC,WI,43.8422,-88.8358,25,Ripon,
"K-International, Inc.",IL,42.3636,-87.8447,25,Waukegan,
"Pebble Technology, Corp.",CA,37.4419,-122.142,25,Palo Alto,
Aclara Technologies LLC,MO,38.627,-90.1994,25,St. Louis,
"Valco Instruments Company, L.P.",TX,29.7631,-95.3631,25,Houston,
OtisMed Corporation,CA,37.7653,-122.241,25,Alameda,
"Lumino, Inc.",WI,43.0731,-89.4011,25,Madison,
Louisiana State University,LA,30.4506,-91.1544,25,Baton Rouge,
"Global Blood Therapeutics, Inc.",CA,37.6547,-122.407,25,South San Francisco,
"EtaGen, Inc.",CA,37.4539,-122.181,25,Menlo Park,
Wacker Neuson Production Americas LLC,WI,43.1789,-88.1172,25,Menomonee Falls,
"United Construction Products, Inc.",CO,39.7392,-104.984,25,Denver,
"Shurtech Brands, LLC",OH,41.4517,-82.0356,25,Avon,
"Custom Plastics, Inc.",IL,42.0039,-87.9703,25,Elk Grove Village,
Metropolitan Life Insurance Company,NY,40.7142,-74.0064,25,New York,
"Theracos, Inc.",MA,42.3458,-71.5528,25,Marlborough,
"Brightedge Technologies, Inc.",CA,37.5586,-122.27,25,Foster City,
"BL TECHNOLOGIES, INC.",MN,44.9133,-93.5031,25,Minnetonka,
"Phoenix Products Company, Inc.",WI,43.0389,-87.9064,25,Milwaukee,
"Shiloh Industries, Inc.",OH,41.2378,-81.9317,25,Valley City,
"Varidesk, LLC",TX,32.9544,-97.0147,25,Coppell,
"Systagenix Wound Management (US), Inc.",DE,39.7458,-75.5469,25,Wilmington,
"AXON ENTERPRISE, INC.",AZ,33.5092,-111.898,25,Scottsdale,
ETS-Lindgren Inc.,TX,30.505,-97.82,25,Cedar Park,
"IDP, LLC",NY,40.7142,-74.0064,25,New York,
"Critical Care Diagnostics, Inc.",CA,32.7153,-117.156,25,San Diego,
"Mimosa Networks, Inc.",CA,37.3542,-121.954,25,Santa Clara,
"D'Addario & Company, Inc.",NY,40.7325,-73.4458,25,Farmingdale,
"ImaTx, Inc.",MA,42.5583,-71.2694,25,Billerica,
ViiV Healthcare Company,DE,39.7458,-75.5469,25,Wilmington,
"Aculon, Inc.",CA,32.7153,-117.156,25,San Diego,
Solid State Scientific Corporation,NH,42.7431,-71.5922,25,Hollis,
Emseal Joint Systems Ltd.,MA,42.2694,-71.6167,25,Westborough,
Marathon Equipment Company,AL,33.7569,-88.1089,25,Vernon,
Hamilton Company,NV,39.5297,-119.813,25,Reno,
FREE STREAM MEDIA CORP.,CA,37.7749,-122.419,25,So. San Francisco,
"Seek Thermal, Inc.",CA,34.4358,-119.827,25,Goleta,
"StratosAudio, Inc.",WA,47.6817,-122.207,25,Kirkland,
"RF Technologies, Inc.",WI,43.0606,-88.1064,25,Brookfield,
"Purina Mills, Inc.",MN,45.0503,-93.1564,25,Arden Hills,
Clarkwestern Dietrich Building Systems LLC,OH,40.2336,-81.3444,25,West Chester,
ATOMERA INCORPORATED,CA,37.2267,-121.974,25,Los Gatos,
Eastern Michigan University,MI,42.2411,-83.6131,25,Ypsilanti,
"CALSONIC KANSEI NORTH AMERICA, INC.",MI,42.4853,-83.3772,25,Farmington Hills,
S.D. Warren Company,MA,42.3583,-71.0603,25,Boston,
"Despatch Industries, Inc.",MN,44.6497,-93.2425,25,Lakeville,
"Merrick Engineering, Inc.",CA,33.8753,-117.566,25,Corona,
"olloclip, LLC",CA,33.6603,-117.998,25,Huntington Beach,
Jore Corporation,MT,47.5289,-114.101,25,Ronan,
"Monster Worldwide, Inc.",MA,42.3667,-71.3036,25,Weston,
Spiracur Inc.,CA,37.3689,-122.035,25,Sunnyvale,
"URBAN ARMOR GEAR, LLC",CA,33.5225,-117.707,25,Laguna Niguel,
